trace_label,question_id,trial_idx,tinker_normalized_score,tinker_points_earned,tinker_points_possible,tinker_final_answer_correct,qwen_normalized_score,qwen_points_earned,qwen_points_possible,qwen_final_answer_correct,llama_normalized_score,llama_points_earned,llama_points_possible,llama_final_answer_correct,nemotron_normalized_score,nemotron_points_earned,nemotron_points_possible,nemotron_final_answer_correct,score_spread
gem31pro,bf-0a8c20169a,0,,,,,0.4167,10.00,24.00,false,0.4167,10.00,24.00,true,0.5833,14.00,24.00,false,0.1667
gem31pro,bf-0a8c20169a,1,0.0000,0.00,24.00,false,1.0000,24.00,24.00,true,1.0000,24.00,24.00,true,1.0000,24.00,24.00,true,1.0000
gem31pro,bf-0a8c20169a,2,0.0000,0.00,24.00,false,1.0000,24.00,24.00,true,1.0000,24.00,24.00,true,1.0000,24.00,24.00,true,1.0000
gem31pro,bf-0e2b33b21b,0,0.0000,0.00,27.00,false,0.2222,6.00,27.00,false,0.5185,14.00,27.00,true,0.2593,7.00,27.00,false,0.5185
gem31pro,bf-0e2b33b21b,1,0.0000,0.00,27.00,false,0.5926,16.00,27.00,false,0.1481,4.00,27.00,true,0.1111,3.00,27.00,false,0.5926
gem31pro,bf-0e2b33b21b,2,0.0000,0.00,27.00,false,0.2222,6.00,27.00,false,0.1481,4.00,27.00,true,0.0741,2.00,27.00,false,0.2222
gem31pro,bf-14e00db503,0,0.0000,0.00,23.00,false,0.4348,10.00,23.00,true,1.0000,23.00,23.00,true,1.0000,23.00,23.00,true,1.0000
gem31pro,bf-14e00db503,1,0.0000,0.00,23.00,false,1.0000,23.00,23.00,true,1.0000,23.00,23.00,true,0.8696,20.00,23.00,true,1.0000
gem31pro,bf-14e00db503,2,0.0000,0.00,23.00,false,0.0870,2.00,23.00,false,0.0870,2.00,23.00,true,0.0870,2.00,23.00,false,0.0870
gem31pro,bf-20474b5540,0,0.0000,0.00,30.00,false,1.0000,30.00,30.00,true,1.0000,30.00,30.00,true,0.1333,4.00,30.00,true,1.0000
gem31pro,bf-20474b5540,1,0.0000,0.00,30.00,false,1.0000,30.00,30.00,true,1.0000,30.00,30.00,true,0.4667,14.00,30.00,true,1.0000
gem31pro,bf-20474b5540,2,0.0000,0.00,30.00,false,1.0000,30.00,30.00,true,1.0000,30.00,30.00,true,0.4667,14.00,30.00,true,1.0000
gem31pro,bf-2c01534176,0,0.0000,0.00,36.00,false,0.0000,0.00,36.00,true,0.0000,0.00,36.00,true,0.1389,5.00,36.00,false,0.1389
gem31pro,bf-2c01534176,1,0.0000,0.00,36.00,false,0.0278,1.00,36.00,false,0.4444,16.00,36.00,true,0.5278,19.00,36.00,false,0.5278
gem31pro,bf-2c01534176,2,0.0000,0.00,36.00,false,0.0000,0.00,36.00,false,0.0000,0.00,36.00,true,0.0000,0.00,36.00,false,0.0000
gem31pro,bf-36d4a10aa8,0,0.0000,0.00,37.00,false,1.0000,37.00,37.00,true,1.0000,37.00,37.00,true,1.0000,37.00,37.00,true,1.0000
gem31pro,bf-36d4a10aa8,1,0.0000,0.00,37.00,false,1.0000,37.00,37.00,true,1.0000,37.00,37.00,true,1.0000,37.00,37.00,true,1.0000
gem31pro,bf-36d4a10aa8,2,0.0000,0.00,37.00,false,1.0000,37.00,37.00,true,1.0000,37.00,37.00,true,0.9459,35.00,37.00,true,1.0000
gem31pro,bf-37f81aef9b,0,0.0000,0.00,27.00,false,0.2593,7.00,27.00,false,0.3333,9.00,27.00,true,0.6296,17.00,27.00,false,0.6296
gem31pro,bf-37f81aef9b,1,0.0000,0.00,27.00,false,0.3333,9.00,27.00,false,0.6296,17.00,27.00,true,0.4444,12.00,27.00,false,0.6296
gem31pro,bf-37f81aef9b,2,0.0000,0.00,27.00,false,0.2963,8.00,27.00,false,0.3333,9.00,27.00,false,0.4444,12.00,27.00,false,0.4444
gem31pro,bf-39bacf8580,0,0.0000,0.00,25.00,false,1.0000,25.00,25.00,true,0.8400,21.00,25.00,true,1.0000,25.00,25.00,true,1.0000
gem31pro,bf-39bacf8580,1,0.0000,0.00,25.00,false,1.0000,25.00,25.00,true,0.8400,21.00,25.00,true,1.0000,25.00,25.00,true,1.0000
gem31pro,bf-39bacf8580,2,0.0000,0.00,25.00,false,1.0000,25.00,25.00,true,0.8400,21.00,25.00,true,1.0000,25.00,25.00,true,1.0000
gem31pro,bf-3b698728de,0,0.0000,0.00,36.00,false,0.0000,0.00,36.00,false,0.0000,0.00,36.00,true,0.0000,0.00,36.00,false,0.0000
gem31pro,bf-3b698728de,1,0.0000,0.00,36.00,false,0.0000,0.00,36.00,false,1.0000,36.00,36.00,true,0.0000,0.00,36.00,false,1.0000
gem31pro,bf-3b698728de,2,0.0000,0.00,36.00,false,0.0833,3.00,36.00,false,0.0000,0.00,36.00,true,0.0833,3.00,36.00,false,0.0833
gem31pro,bf-472ca86db1,0,0.0000,0.00,65.00,false,0.6769,44.00,65.00,false,0.8462,55.00,65.00,true,0.8615,56.00,65.00,false,0.8615
gem31pro,bf-472ca86db1,1,0.0000,0.00,65.00,false,0.6154,40.00,65.00,false,1.0000,65.00,65.00,true,0.6923,45.00,65.00,false,1.0000
gem31pro,bf-472ca86db1,2,0.0000,0.00,65.00,false,0.1846,12.00,65.00,false,0.8462,55.00,65.00,true,0.9077,59.00,65.00,false,0.9077
gem31pro,bf-50f29af2ed,0,0.0000,0.00,82.00,false,0.4390,36.00,82.00,false,0.5366,44.00,82.00,true,0.5366,44.00,82.00,false,0.5366
gem31pro,bf-50f29af2ed,1,0.0000,0.00,82.00,false,0.4146,34.00,82.00,false,0.5244,43.00,82.00,true,0.4390,36.00,82.00,false,0.5244
gem31pro,bf-50f29af2ed,2,0.0000,0.00,82.00,false,0.4390,36.00,82.00,false,0.7561,62.00,82.00,true,0.6707,55.00,82.00,false,0.7561
gem31pro,bf-51844d71db,0,0.0000,0.00,33.00,false,0.3636,12.00,33.00,false,0.6667,22.00,33.00,true,0.0909,3.00,33.00,false,0.6667
gem31pro,bf-51844d71db,1,0.0000,0.00,33.00,false,0.3030,10.00,33.00,false,0.6970,23.00,33.00,true,0.0909,3.00,33.00,false,0.6970
gem31pro,bf-51844d71db,2,0.0000,0.00,33.00,false,0.2727,9.00,33.00,false,0.6667,22.00,33.00,true,0.0303,1.00,33.00,false,0.6667
gem31pro,bf-55f33faa82,0,0.0000,0.00,72.00,false,1.0000,72.00,72.00,false,1.0000,72.00,72.00,true,1.0000,72.00,72.00,false,1.0000
gem31pro,bf-55f33faa82,1,0.0000,0.00,72.00,false,0.5417,39.00,72.00,false,1.0000,72.00,72.00,true,0.8194,59.00,72.00,false,1.0000
gem31pro,bf-55f33faa82,2,0.0000,0.00,72.00,false,0.7639,55.00,72.00,false,1.0000,72.00,72.00,true,0.6389,46.00,72.00,false,1.0000
gem31pro,bf-5b4cd39939,0,0.0000,0.00,54.00,false,0.0000,0.00,54.00,false,0.0000,0.00,54.00,true,0.0000,0.00,54.00,false,0.0000
gem31pro,bf-5b4cd39939,1,0.0000,0.00,54.00,false,0.0000,0.00,54.00,false,0.0000,0.00,54.00,true,0.0000,0.00,54.00,false,0.0000
gem31pro,bf-5b4cd39939,2,0.0000,0.00,54.00,false,0.0000,0.00,54.00,false,0.0000,0.00,54.00,true,0.0000,0.00,54.00,false,0.0000
gem31pro,bf-66ccc5d04a,0,0.0000,0.00,24.00,false,0.2083,5.00,24.00,false,0.1667,4.00,24.00,true,0.1250,3.00,24.00,false,0.2083
gem31pro,bf-66ccc5d04a,1,0.0000,0.00,24.00,false,0.2917,7.00,24.00,false,0.3333,8.00,24.00,true,0.0000,0.00,24.00,false,0.3333
gem31pro,bf-66ccc5d04a,2,0.0000,0.00,24.00,false,0.3750,9.00,24.00,false,0.2917,7.00,24.00,true,0.0000,0.00,24.00,false,0.3750
gem31pro,bf-6bd9e9e383,0,0.0000,0.00,14.00,false,0.9286,13.00,14.00,true,1.0000,14.00,14.00,true,1.0000,14.00,14.00,true,1.0000
gem31pro,bf-6bd9e9e383,1,0.0000,0.00,14.00,false,0.9286,13.00,14.00,true,1.0000,14.00,14.00,true,1.0000,14.00,14.00,true,1.0000
gem31pro,bf-6bd9e9e383,2,0.0000,0.00,14.00,false,1.0000,14.00,14.00,true,1.0000,14.00,14.00,true,1.0000,14.00,14.00,true,1.0000
gem31pro,bf-6fb17b7f3d,0,0.0000,0.00,30.00,false,0.1000,3.00,30.00,false,0.2667,8.00,30.00,true,0.9667,29.00,30.00,false,0.9667
gem31pro,bf-6fb17b7f3d,1,0.0000,0.00,30.00,false,0.0333,1.00,30.00,false,0.1667,5.00,30.00,true,0.0000,0.00,30.00,false,0.1667
gem31pro,bf-6fb17b7f3d,2,0.0000,0.00,30.00,false,0.3000,9.00,30.00,false,0.6667,20.00,30.00,true,0.4333,13.00,30.00,false,0.6667
gem31pro,bf-712e20a246,0,0.0000,0.00,16.00,false,1.0000,16.00,16.00,true,1.0000,16.00,16.00,true,1.0000,16.00,16.00,true,1.0000
gem31pro,bf-712e20a246,1,0.0000,0.00,16.00,false,1.0000,16.00,16.00,true,1.0000,16.00,16.00,true,1.0000,16.00,16.00,true,1.0000
gem31pro,bf-712e20a246,2,0.0000,0.00,16.00,false,1.0000,16.00,16.00,true,1.0000,16.00,16.00,true,1.0000,16.00,16.00,true,1.0000
